Epoch 1/100, Train Loss: 0.6933, Test Loss: 0.6818, Train Accuracy: 0.5058, Train Precision: 0.4119, Train Recall: 0.4748, Train F1 Score: 0.4411, Train AUC-ROC: 0.5152, Test Accuracy: 0.5987, Test Precision: 0.0164, Test Recall: 0.5000, Test F1 Score: 0.0317, Test AUC-ROC: 0.6121

Epoch 2/100, Train Loss: 0.6850, Test Loss: 0.6875, Train Accuracy: 0.5661, Train Precision: 0.2443, Train Recall: 0.6034, Train F1 Score: 0.3478, Train AUC-ROC: 0.5700, Test Accuracy: 0.5724, Test Precision: 0.5902, Test Recall: 0.4737, Test F1 Score: 0.5255, Test AUC-ROC: 0.6066

Epoch 3/100, Train Loss: 0.6690, Test Loss: 0.6721, Train Accuracy: 0.5851, Train Precision: 0.4712, Train Recall: 0.5757, Train F1 Score: 0.5182, Train AUC-ROC: 0.6202, Test Accuracy: 0.5592, Test Precision: 0.4754, Test Recall: 0.4531, Test F1 Score: 0.4640, Test AUC-ROC: 0.6068

Epoch 4/100, Train Loss: 0.6611, Test Loss: 0.6587, Train Accuracy: 0.6050, Train Precision: 0.5236, Train Recall: 0.5941, Train F1 Score: 0.5566, Train AUC-ROC: 0.6448, Test Accuracy: 0.5592, Test Precision: 0.2295, Test Recall: 0.4118, Test F1 Score: 0.2947, Test AUC-ROC: 0.6059

Epoch 5/100, Train Loss: 0.6545, Test Loss: 0.6702, Train Accuracy: 0.6017, Train Precision: 0.5271, Train Recall: 0.5887, Train F1 Score: 0.5562, Train AUC-ROC: 0.6508, Test Accuracy: 0.5724, Test Precision: 0.4918, Test Recall: 0.4688, Test F1 Score: 0.4800, Test AUC-ROC: 0.6063

Epoch 6/100, Train Loss: 0.6513, Test Loss: 0.6728, Train Accuracy: 0.6099, Train Precision: 0.5462, Train Recall: 0.5962, Train F1 Score: 0.5701, Train AUC-ROC: 0.6537, Test Accuracy: 0.5592, Test Precision: 0.4918, Test Recall: 0.4545, Test F1 Score: 0.4724, Test AUC-ROC: 0.6056

Epoch 7/100, Train Loss: 0.6477, Test Loss: 0.6657, Train Accuracy: 0.6182, Train Precision: 0.5620, Train Recall: 0.6041, Train F1 Score: 0.5823, Train AUC-ROC: 0.6707, Test Accuracy: 0.5461, Test Precision: 0.4098, Test Recall: 0.4310, Test F1 Score: 0.4202, Test AUC-ROC: 0.6056

Epoch 8/100, Train Loss: 0.6492, Test Loss: 0.6842, Train Accuracy: 0.6289, Train Precision: 0.5550, Train Recall: 0.6211, Train F1 Score: 0.5862, Train AUC-ROC: 0.6660, Test Accuracy: 0.5461, Test Precision: 0.6066, Test Recall: 0.4512, Test F1 Score: 0.5175, Test AUC-ROC: 0.6094

Epoch 9/100, Train Loss: 0.6409, Test Loss: 0.6644, Train Accuracy: 0.6050, Train Precision: 0.5672, Train Recall: 0.5856, Train F1 Score: 0.5762, Train AUC-ROC: 0.6753, Test Accuracy: 0.5592, Test Precision: 0.4262, Test Recall: 0.4483, Test F1 Score: 0.4370, Test AUC-ROC: 0.6110

Epoch 10/100, Train Loss: 0.6390, Test Loss: 0.6523, Train Accuracy: 0.6256, Train Precision: 0.5829, Train Recall: 0.6095, Train F1 Score: 0.5959, Train AUC-ROC: 0.6824, Test Accuracy: 0.6053, Test Precision: 0.2623, Test Recall: 0.5161, Test F1 Score: 0.3478, Test AUC-ROC: 0.6185

Epoch 11/100, Train Loss: 0.6357, Test Loss: 0.6613, Train Accuracy: 0.6215, Train Precision: 0.5794, Train Recall: 0.6047, Train F1 Score: 0.5918, Train AUC-ROC: 0.6856, Test Accuracy: 0.5592, Test Precision: 0.4590, Test Recall: 0.4516, Test F1 Score: 0.4553, Test AUC-ROC: 0.6200

