Epoch 1/100, Train Loss: 830.7352, Train Accuracy: 74.8627, Train AUC-ROC: 0.6734, Train F1 Score: 0.8507 , Train Precision: 0.7842, Train Recall: 0.9295
Epoch 2/100, Train Loss: 769.7961, Train Accuracy: 77.5473, Train AUC-ROC: 0.7588, Train F1 Score: 0.8668 , Train Precision: 0.7985, Train Recall: 0.9477
Epoch 3/100, Train Loss: 685.2111, Train Accuracy: 80.2929, Train AUC-ROC: 0.8180, Train F1 Score: 0.8740 , Train Precision: 0.8615, Train Recall: 0.8868
Epoch 4/100, Train Loss: 639.8462, Train Accuracy: 81.3911, Train AUC-ROC: 0.8483, Train F1 Score: 0.8786 , Train Precision: 0.8832, Train Recall: 0.8741
Epoch 5/100, Train Loss: 526.9782, Train Accuracy: 84.7468, Train AUC-ROC: 0.9045, Train F1 Score: 0.8991 , Train Precision: 0.9169, Train Recall: 0.8820
Epoch 6/100, Train Loss: 522.3864, Train Accuracy: 82.9774, Train AUC-ROC: 0.9052, Train F1 Score: 0.8862 , Train Precision: 0.9141, Train Recall: 0.8599
Epoch 7/100, Train Loss: 504.6832, Train Accuracy: 85.2349, Train AUC-ROC: 0.9130, Train F1 Score: 0.9021 , Train Precision: 0.9222, Train Recall: 0.8828
Epoch 8/100, Train Loss: 484.9642, Train Accuracy: 85.3569, Train AUC-ROC: 0.9204, Train F1 Score: 0.9032 , Train Precision: 0.9203, Train Recall: 0.8868
Epoch 9/100, Train Loss: 478.4784, Train Accuracy: 84.5027, Train AUC-ROC: 0.9212, Train F1 Score: 0.8969 , Train Precision: 0.9201, Train Recall: 0.8749
Epoch 10/100, Train Loss: 483.7561, Train Accuracy: 86.5772, Train AUC-ROC: 0.9185, Train F1 Score: 0.9121 , Train Precision: 0.9209, Train Recall: 0.9034
Epoch 11/100, Train Loss: 461.6477, Train Accuracy: 86.2721, Train AUC-ROC: 0.9281, Train F1 Score: 0.9085 , Train Precision: 0.9339, Train Recall: 0.8844
Epoch 12/100, Train Loss: 458.7136, Train Accuracy: 86.8212, Train AUC-ROC: 0.9285, Train F1 Score: 0.9126 , Train Precision: 0.9330, Train Recall: 0.8931
Epoch 13/100, Train Loss: 461.9370, Train Accuracy: 86.8822, Train AUC-ROC: 0.9272, Train F1 Score: 0.9138 , Train Precision: 0.9253, Train Recall: 0.9026
Epoch 14/100, Train Loss: 460.8345, Train Accuracy: 87.9195, Train AUC-ROC: 0.9273, Train F1 Score: 0.9211 , Train Precision: 0.9270, Train Recall: 0.9153
Epoch 15/100, Train Loss: 452.3530, Train Accuracy: 87.9195, Train AUC-ROC: 0.9309, Train F1 Score: 0.9210 , Train Precision: 0.9284, Train Recall: 0.9137
Epoch 16/100, Train Loss: 424.7145, Train Accuracy: 87.6144, Train AUC-ROC: 0.9391, Train F1 Score: 0.9182 , Train Precision: 0.9344, Train Recall: 0.9026
Epoch 17/100, Train Loss: 455.5492, Train Accuracy: 87.4924, Train AUC-ROC: 0.9300, Train F1 Score: 0.9180 , Train Precision: 0.9280, Train Recall: 0.9082
Epoch 18/100, Train Loss: 459.2440, Train Accuracy: 87.0043, Train AUC-ROC: 0.9290, Train F1 Score: 0.9154 , Train Precision: 0.9187, Train Recall: 0.9121
Epoch 19/100, Train Loss: 479.1662, Train Accuracy: 86.4552, Train AUC-ROC: 0.9200, Train F1 Score: 0.9109 , Train Precision: 0.9235, Train Recall: 0.8987
Epoch 20/100, Train Loss: 445.0524, Train Accuracy: 88.2855, Train AUC-ROC: 0.9340, Train F1 Score: 0.9235 , Train Precision: 0.9294, Train Recall: 0.9177
Epoch 21/100, Train Loss: 451.4954, Train Accuracy: 86.8212, Train AUC-ROC: 0.9312, Train F1 Score: 0.9129 , Train Precision: 0.9302, Train Recall: 0.8963
Epoch 22/100, Train Loss: 443.6452, Train Accuracy: 87.4314, Train AUC-ROC: 0.9339, Train F1 Score: 0.9173 , Train Precision: 0.9300, Train Recall: 0.9050
Epoch 23/100, Train Loss: 453.6418, Train Accuracy: 87.0653, Train AUC-ROC: 0.9304, Train F1 Score: 0.9148 , Train Precision: 0.9290, Train Recall: 0.9010
Epoch 24/100, Train Loss: 435.3977, Train Accuracy: 88.4076, Train AUC-ROC: 0.9346, Train F1 Score: 0.9248 , Train Precision: 0.9241, Train Recall: 0.9256
Epoch 25/100, Train Loss: 520.8390, Train Accuracy: 85.6620, Train AUC-ROC: 0.9044, Train F1 Score: 0.9063 , Train Precision: 0.9132, Train Recall: 0.8994
Epoch 26/100, Train Loss: 444.6553, Train Accuracy: 87.2483, Train AUC-ROC: 0.9312, Train F1 Score: 0.9156 , Train Precision: 0.9348, Train Recall: 0.8971
Epoch 27/100, Train Loss: 448.4599, Train Accuracy: 87.4924, Train AUC-ROC: 0.9306, Train F1 Score: 0.9175 , Train Precision: 0.9329, Train Recall: 0.9026
Epoch 28/100, Train Loss: 576.9654, Train Accuracy: 79.7437, Train AUC-ROC: 0.8742, Train F1 Score: 0.8598 , Train Precision: 0.9213, Train Recall: 0.8060
Epoch 29/100, Train Loss: 459.1094, Train Accuracy: 87.3703, Train AUC-ROC: 0.9286, Train F1 Score: 0.9168 , Train Precision: 0.9307, Train Recall: 0.9034
Epoch 30/100, Train Loss: 433.0247, Train Accuracy: 87.6754, Train AUC-ROC: 0.9360, Train F1 Score: 0.9191 , Train Precision: 0.9303, Train Recall: 0.9082
Epoch 31/100, Train Loss: 440.9927, Train Accuracy: 87.5534, Train AUC-ROC: 0.9342, Train F1 Score: 0.9170 , Train Precision: 0.9431, Train Recall: 0.8923
Epoch 32/100, Train Loss: 429.4075, Train Accuracy: 87.9195, Train AUC-ROC: 0.9367, Train F1 Score: 0.9202 , Train Precision: 0.9376, Train Recall: 0.9034
Epoch 33/100, Train Loss: 437.3391, Train Accuracy: 87.3703, Train AUC-ROC: 0.9350, Train F1 Score: 0.9169 , Train Precision: 0.9300, Train Recall: 0.9042
Epoch 34/100, Train Loss: 426.8458, Train Accuracy: 88.3466, Train AUC-ROC: 0.9385, Train F1 Score: 0.9234 , Train Precision: 0.9358, Train Recall: 0.9113
Epoch 35/100, Train Loss: 418.9955, Train Accuracy: 88.5296, Train AUC-ROC: 0.9397, Train F1 Score: 0.9241 , Train Precision: 0.9424, Train Recall: 0.9066
Epoch 36/100, Train Loss: 433.2882, Train Accuracy: 88.5296, Train AUC-ROC: 0.9342, Train F1 Score: 0.9245 , Train Precision: 0.9381, Train Recall: 0.9113
