Epoch 1/100, Train Loss: 0.5199, Test Loss: 0.3745, Train Accuracy: 0.7454, Train Precision: 0.7350, Train Recall: 0.7524, Train F1 Score: 0.7436, Train AUC-ROC: 0.8287, Test Accuracy: 0.8607, Test Precision: 0.8225, Test Recall: 0.9026, Test F1 Score: 0.8607, Test AUC-ROC: 0.9231

Epoch 2/100, Train Loss: 0.3536, Test Loss: 0.3081, Train Accuracy: 0.8607, Train Precision: 0.8706, Train Recall: 0.8548, Train F1 Score: 0.8626, Train AUC-ROC: 0.9259, Test Accuracy: 0.8854, Test Precision: 0.9290, Test Recall: 0.8626, Test F1 Score: 0.8946, Test AUC-ROC: 0.9424

Epoch 3/100, Train Loss: 0.3105, Test Loss: 0.2889, Train Accuracy: 0.8897, Train Precision: 0.8929, Train Recall: 0.8881, Train F1 Score: 0.8905, Train AUC-ROC: 0.9425, Test Accuracy: 0.9195, Test Precision: 0.9231, Test Recall: 0.9231, Test F1 Score: 0.9231, Test AUC-ROC: 0.9442

Epoch 4/100, Train Loss: 0.2971, Test Loss: 0.2820, Train Accuracy: 0.8971, Train Precision: 0.8960, Train Recall: 0.8988, Train F1 Score: 0.8974, Train AUC-ROC: 0.9464, Test Accuracy: 0.9195, Test Precision: 0.9290, Test Recall: 0.9181, Test F1 Score: 0.9235, Test AUC-ROC: 0.9467

Epoch 5/100, Train Loss: 0.2866, Test Loss: 0.2765, Train Accuracy: 0.9013, Train Precision: 0.9006, Train Recall: 0.9027, Train F1 Score: 0.9017, Train AUC-ROC: 0.9501, Test Accuracy: 0.9288, Test Precision: 0.9231, Test Recall: 0.9398, Test F1 Score: 0.9313, Test AUC-ROC: 0.9515

Epoch 6/100, Train Loss: 0.2761, Test Loss: 0.2713, Train Accuracy: 0.9009, Train Precision: 0.9022, Train Recall: 0.9008, Train F1 Score: 0.9015, Train AUC-ROC: 0.9536, Test Accuracy: 0.9226, Test Precision: 0.9290, Test Recall: 0.9235, Test F1 Score: 0.9263, Test AUC-ROC: 0.9507

Epoch 7/100, Train Loss: 0.2643, Test Loss: 0.2793, Train Accuracy: 0.9094, Train Precision: 0.9076, Train Recall: 0.9118, Train F1 Score: 0.9097, Train AUC-ROC: 0.9577, Test Accuracy: 0.9288, Test Precision: 0.8935, Test Recall: 0.9679, Test F1 Score: 0.9292, Test AUC-ROC: 0.9525

Epoch 8/100, Train Loss: 0.2619, Test Loss: 0.2637, Train Accuracy: 0.9118, Train Precision: 0.9106, Train Recall: 0.9134, Train F1 Score: 0.9120, Train AUC-ROC: 0.9589, Test Accuracy: 0.9412, Test Precision: 0.9349, Test Recall: 0.9518, Test F1 Score: 0.9433, Test AUC-ROC: 0.9545

Epoch 9/100, Train Loss: 0.2518, Test Loss: 0.2631, Train Accuracy: 0.9195, Train Precision: 0.9168, Train Recall: 0.9225, Train F1 Score: 0.9196, Train AUC-ROC: 0.9616, Test Accuracy: 0.9226, Test Precision: 0.9349, Test Recall: 0.9186, Test F1 Score: 0.9267, Test AUC-ROC: 0.9543

Epoch 10/100, Train Loss: 0.2497, Test Loss: 0.2990, Train Accuracy: 0.9141, Train Precision: 0.9122, Train Recall: 0.9164, Train F1 Score: 0.9143, Train AUC-ROC: 0.9619, Test Accuracy: 0.9257, Test Precision: 0.8817, Test Recall: 0.9739, Test F1 Score: 0.9255, Test AUC-ROC: 0.9553

Epoch 11/100, Train Loss: 0.2525, Test Loss: 0.2632, Train Accuracy: 0.9110, Train Precision: 0.9114, Train Recall: 0.9114, Train F1 Score: 0.9114, Train AUC-ROC: 0.9615, Test Accuracy: 0.9350, Test Precision: 0.9172, Test Recall: 0.9568, Test F1 Score: 0.9366, Test AUC-ROC: 0.9573

Epoch 12/100, Train Loss: 0.2439, Test Loss: 0.2550, Train Accuracy: 0.9199, Train Precision: 0.9176, Train Recall: 0.9225, Train F1 Score: 0.9200, Train AUC-ROC: 0.9635, Test Accuracy: 0.9226, Test Precision: 0.9408, Test Recall: 0.9138, Test F1 Score: 0.9271, Test AUC-ROC: 0.9607

Epoch 13/100, Train Loss: 0.2409, Test Loss: 0.2576, Train Accuracy: 0.9176, Train Precision: 0.9145, Train Recall: 0.9209, Train F1 Score: 0.9177, Train AUC-ROC: 0.9646, Test Accuracy: 0.9319, Test Precision: 0.9290, Test Recall: 0.9401, Test F1 Score: 0.9345, Test AUC-ROC: 0.9549

