smiles,y_label
COc1cc(/C=N/NC(=O)Cc2cccs2)cc(Br)c1O,1
COC(=O)c1ccc(C)c(-n2c(C)cc(/C=C(/C#N)C(=O)NCc3ccc(OC)cc3)c2C)c1,1
Cn1cccc1CC(=O)N/N=C/c1cccc(Br)c1,1
Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c(C)c1,0
C[C@H](NC(=O)/C(C#N)=C/c1ccc2c(c1)OCCO2)c1ccccc1,1
COC(=O)[C@H]1[C@H](c2ccccc2)[C@H]2C(=O)N[C@@]1(C)NC2=C(C#N)C#N,0
CCc1ccc(N2C[C@H](C(=O)NNC(=O)CN(C)S(=O)(=O)c3ccc(C)cc3)CC2=O)cc1,0
Cc1ccc(B(O)O)cc1,0
Cc1ccc(N2C(=O)[C@H](/C=N\NC(=O)c3cccc([N+](=O)[O-])c3)C(=O)NC2=S)cc1,0
CS(=O)(=O)c1cccc(C(=O)NNC(=O)/C=C\c2ccco2)c1,0
O=C(N/N=C/c1ccccc1O)c1cc(-c2ccccc2Cl)n[nH]1,1
COc1ccc([C@@H]2c3c(n[nH]c3C(C)C)OC(N)=C2C#N)cc1O,1
O=S1(=O)C[C@H]2Sc3nncn3[C@H]2[C@@H]1Br,0
O=C1OC(=O)[C@H]2[C@H]1[C@H]1C=C[C@H]2[C@@H]2[C@H]3C(=O)OC(=O)[C@H]3C=C(c3ccccc3)[C@@H]12,0
CC(C)C(=O)Nc1ccc(CC(=O)NN)cc1,0
O=S1(=O)C[C@H](Cl)[C@H](OC[C@@H](Cl)CCl)C1,0
CCN(CC)c1ccc(/C=C(\C#N)C(=O)N2CCOCC2)cc1,1
COC(=O)c1ccc(NC(=O)/C(C#N)=C/c2c(O)ccc3ccccc32)cc1,1
COc1cc(/C=N\NC(=O)Cn2ncn(-c3ccccc3)c2=O)ccc1OC(=O)C[C@H]1SC(=O)NC1=O,0
CCCS(=O)(=O)c1c(C(=O)N/N=C/c2ccc(OC)c(OC)c2)n2cccc(C)c2c1S(=O)(=O)CCC,1
COC(=O)c1ccc(/C=C(\C#N)c2ccc(Cl)cc2)cc1,1
Cc1ccccc1OCC(=O)N/N=C/c1ccc(Oc2ccccc2)cc1,1
Cn1c(=O)n2n(c1=O)[C@H]1[C@H]3[C@H]4[C@H]5[C@@H]3[C@@]13C[C@@H](Br)[C@H](O)C[C@]53[C@@H]42,0
Cc1cc(/C=N/NC(=O)COc2ccccc2I)c(C)n1-c1cccc([N+](=O)[O-])c1,1
O=C(NNS(=O)(=O)c1ccc(OC(F)(F)F)cc1)c1csc(N2CCOCC2)n1,0
Cc1cc(/C=C(/C#N)C(N)=O)c(C)n1C[C@@H]1CCCO1,0
Cc1cccc(C(=O)Oc2c(Br)cc(Br)cc2C=NNC(=O)c2cccc(NC(=O)c3ccc(Cl)cc3Cl)c2)c1,1
