Epoch 1/100, Train Loss: 39528.6297, Train Accuracy: 53.2231, Train AUC-ROC: 0.5419, Train F1 Score: 0.1476
Epoch 2/100, Train Loss: 41628.1093, Train Accuracy: 52.6446, Train AUC-ROC: 0.4829, Train F1 Score: 0.0000
Epoch 3/100, Train Loss: 38487.8027, Train Accuracy: 52.6446, Train AUC-ROC: 0.5027, Train F1 Score: 0.0000
Epoch 4/100, Train Loss: 37799.1242, Train Accuracy: 52.6446, Train AUC-ROC: 0.5088, Train F1 Score: 0.0000
Epoch 5/100, Train Loss: 37393.6846, Train Accuracy: 52.6446, Train AUC-ROC: 0.5087, Train F1 Score: 0.0000
Epoch 6/100, Train Loss: 37327.4352, Train Accuracy: 52.6446, Train AUC-ROC: 0.4981, Train F1 Score: 0.0000
Epoch 7/100, Train Loss: 37671.4967, Train Accuracy: 52.6446, Train AUC-ROC: 0.4999, Train F1 Score: 0.0000
Epoch 8/100, Train Loss: 37623.1329, Train Accuracy: 52.6446, Train AUC-ROC: 0.4817, Train F1 Score: 0.0000
Epoch 9/100, Train Loss: 37908.3488, Train Accuracy: 52.6446, Train AUC-ROC: 0.4922, Train F1 Score: 0.0000
Epoch 10/100, Train Loss: 37558.7614, Train Accuracy: 52.6446, Train AUC-ROC: 0.4748, Train F1 Score: 0.0000
Epoch 11/100, Train Loss: 37642.6755, Train Accuracy: 52.6446, Train AUC-ROC: 0.4758, Train F1 Score: 0.0000
Epoch 12/100, Train Loss: 37760.1481, Train Accuracy: 52.6446, Train AUC-ROC: 0.4766, Train F1 Score: 0.0000
Epoch 13/100, Train Loss: 37483.0675, Train Accuracy: 52.6446, Train AUC-ROC: 0.4786, Train F1 Score: 0.0000
Epoch 14/100, Train Loss: 37290.3731, Train Accuracy: 52.6446, Train AUC-ROC: 0.4700, Train F1 Score: 0.0000
Epoch 15/100, Train Loss: 39323.5617, Train Accuracy: 52.6446, Train AUC-ROC: 0.4686, Train F1 Score: 0.0000
Epoch 16/100, Train Loss: 45018.8775, Train Accuracy: 52.6446, Train AUC-ROC: 0.4667, Train F1 Score: 0.0000
Epoch 17/100, Train Loss: 38076.8983, Train Accuracy: 52.6446, Train AUC-ROC: 0.4782, Train F1 Score: 0.0000
Epoch 18/100, Train Loss: 37697.6820, Train Accuracy: 52.6446, Train AUC-ROC: 0.4720, Train F1 Score: 0.0000
Epoch 19/100, Train Loss: 38374.3995, Train Accuracy: 52.6446, Train AUC-ROC: 0.4607, Train F1 Score: 0.0000
Epoch 20/100, Train Loss: 38224.2468, Train Accuracy: 52.6446, Train AUC-ROC: 0.4695, Train F1 Score: 0.0000
Epoch 21/100, Train Loss: 37792.9068, Train Accuracy: 52.6446, Train AUC-ROC: 0.4695, Train F1 Score: 0.0000
Epoch 22/100, Train Loss: 28915.5452, Train Accuracy: 52.6446, Train AUC-ROC: 0.4767, Train F1 Score: 0.0000
Epoch 23/100, Train Loss: 29813.4767, Train Accuracy: 52.6446, Train AUC-ROC: 0.4805, Train F1 Score: 0.0000
Epoch 24/100, Train Loss: 37842.9892, Train Accuracy: 52.6446, Train AUC-ROC: 0.4679, Train F1 Score: 0.0000
Epoch 25/100, Train Loss: 35046.1563, Train Accuracy: 52.6446, Train AUC-ROC: 0.4711, Train F1 Score: 0.0000
Epoch 26/100, Train Loss: 32500.1313, Train Accuracy: 52.6446, Train AUC-ROC: 0.4874, Train F1 Score: 0.0000
Epoch 27/100, Train Loss: 28417.4248, Train Accuracy: 52.6446, Train AUC-ROC: 0.5014, Train F1 Score: 0.0000
Epoch 28/100, Train Loss: 26811.3294, Train Accuracy: 52.6446, Train AUC-ROC: 0.4815, Train F1 Score: 0.0000
Epoch 29/100, Train Loss: 26211.5325, Train Accuracy: 52.6446, Train AUC-ROC: 0.4773, Train F1 Score: 0.0000
Epoch 30/100, Train Loss: 35827.4314, Train Accuracy: 52.6446, Train AUC-ROC: 0.4859, Train F1 Score: 0.0000
Epoch 31/100, Train Loss: 36686.1066, Train Accuracy: 52.6446, Train AUC-ROC: 0.4707, Train F1 Score: 0.0000
Epoch 32/100, Train Loss: 31412.7101, Train Accuracy: 52.6446, Train AUC-ROC: 0.4908, Train F1 Score: 0.0000
Epoch 33/100, Train Loss: 28525.0070, Train Accuracy: 52.6446, Train AUC-ROC: 0.4803, Train F1 Score: 0.0000
Epoch 34/100, Train Loss: 28276.7077, Train Accuracy: 52.6446, Train AUC-ROC: 0.4758, Train F1 Score: 0.0000
Epoch 35/100, Train Loss: 27213.4457, Train Accuracy: 52.6446, Train AUC-ROC: 0.4763, Train F1 Score: 0.0000
Epoch 36/100, Train Loss: 37319.1461, Train Accuracy: 52.6446, Train AUC-ROC: 0.4743, Train F1 Score: 0.0000
Epoch 37/100, Train Loss: 36883.5548, Train Accuracy: 52.6446, Train AUC-ROC: 0.4711, Train F1 Score: 0.0000
Epoch 38/100, Train Loss: 36702.9073, Train Accuracy: 52.6446, Train AUC-ROC: 0.4748, Train F1 Score: 0.0000
Epoch 39/100, Train Loss: 33064.6429, Train Accuracy: 52.6446, Train AUC-ROC: 0.4642, Train F1 Score: 0.0000
Epoch 40/100, Train Loss: 30822.9357, Train Accuracy: 52.6446, Train AUC-ROC: 0.4669, Train F1 Score: 0.0000
Epoch 41/100, Train Loss: 30345.2763, Train Accuracy: 52.6446, Train AUC-ROC: 0.4703, Train F1 Score: 0.0000
Epoch 42/100, Train Loss: 30589.0648, Train Accuracy: 52.6446, Train AUC-ROC: 0.4706, Train F1 Score: 0.0000
