Epoch 1/100, Train Loss: 59232.9925, Train Accuracy: 55.0413, Train AUC-ROC: 0.5537, Train F1 Score: 0.2316 , Train Precision: 0.6074, Train Recall: 0.1431
Epoch 2/100, Train Loss: 45285.9045, Train Accuracy: 52.6446, Train AUC-ROC: 0.5140, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 3/100, Train Loss: 41565.1079, Train Accuracy: 52.6446, Train AUC-ROC: 0.5101, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 4/100, Train Loss: 41785.1236, Train Accuracy: 52.6446, Train AUC-ROC: 0.5061, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 5/100, Train Loss: 40704.9167, Train Accuracy: 52.6446, Train AUC-ROC: 0.5018, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 6/100, Train Loss: 40878.4062, Train Accuracy: 52.6446, Train AUC-ROC: 0.5012, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 7/100, Train Loss: 40322.2602, Train Accuracy: 52.6446, Train AUC-ROC: 0.4999, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 8/100, Train Loss: 39948.7012, Train Accuracy: 52.6446, Train AUC-ROC: 0.4953, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 9/100, Train Loss: 40227.7420, Train Accuracy: 52.6446, Train AUC-ROC: 0.4971, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 10/100, Train Loss: 39548.6026, Train Accuracy: 52.6446, Train AUC-ROC: 0.4963, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 11/100, Train Loss: 31441.2520, Train Accuracy: 52.6446, Train AUC-ROC: 0.5054, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 12/100, Train Loss: 29323.7357, Train Accuracy: 52.6446, Train AUC-ROC: 0.5020, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 13/100, Train Loss: 31078.5583, Train Accuracy: 52.6446, Train AUC-ROC: 0.4868, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 14/100, Train Loss: 37322.5367, Train Accuracy: 52.6446, Train AUC-ROC: 0.4845, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 15/100, Train Loss: 47442.2865, Train Accuracy: 52.6446, Train AUC-ROC: 0.4907, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 16/100, Train Loss: 48905.2584, Train Accuracy: 52.6446, Train AUC-ROC: 0.4668, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 17/100, Train Loss: 39632.4988, Train Accuracy: 52.6446, Train AUC-ROC: 0.4922, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 18/100, Train Loss: 35546.6507, Train Accuracy: 52.6446, Train AUC-ROC: 0.4956, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
Epoch 19/100, Train Loss: 32201.8935, Train Accuracy: 52.6446, Train AUC-ROC: 0.4933, Train F1 Score: 0.0000 , Train Precision: 0.0000, Train Recall: 0.0000
