Epoch 1/100, Train Loss: 851.0571, Train Accuracy: 55.8678, Train AUC-ROC: 0.5545, Train F1 Score: 0.2665, Train Precision: 0.6258, Train Recall: 0.1693
Epoch 2/100, Train Loss: 849.8546, Train Accuracy: 52.8099, Train AUC-ROC: 0.5359, Train F1 Score: 0.0775, Train Precision: 0.5217, Train Recall: 0.0419
Epoch 3/100, Train Loss: 846.2745, Train Accuracy: 52.6446, Train AUC-ROC: 0.5409, Train F1 Score: 0.0000, Train Precision: 0.0000, Train Recall: 0.0000
Epoch 4/100, Train Loss: 845.9763, Train Accuracy: 52.6446, Train AUC-ROC: 0.5423, Train F1 Score: 0.0000, Train Precision: 0.0000, Train Recall: 0.0000
Epoch 5/100, Train Loss: 845.6960, Train Accuracy: 52.6446, Train AUC-ROC: 0.5429, Train F1 Score: 0.0000, Train Precision: 0.0000, Train Recall: 0.0000
Epoch 6/100, Train Loss: 844.4942, Train Accuracy: 53.1405, Train AUC-ROC: 0.5577, Train F1 Score: 0.0341, Train Precision: 0.7143, Train Recall: 0.0175
Epoch 7/100, Train Loss: 845.5113, Train Accuracy: 54.7934, Train AUC-ROC: 0.5734, Train F1 Score: 0.1848, Train Precision: 0.6327, Train Recall: 0.1082
Epoch 8/100, Train Loss: 843.4986, Train Accuracy: 53.6364, Train AUC-ROC: 0.5828, Train F1 Score: 0.1109, Train Precision: 0.6034, Train Recall: 0.0611
Epoch 9/100, Train Loss: 839.4858, Train Accuracy: 53.6364, Train AUC-ROC: 0.6080, Train F1 Score: 0.0788, Train Precision: 0.6667, Train Recall: 0.0419
Epoch 10/100, Train Loss: 838.5434, Train Accuracy: 54.1322, Train AUC-ROC: 0.6086, Train F1 Score: 0.1422, Train Precision: 0.6216, Train Recall: 0.0803
Epoch 11/100, Train Loss: 837.3028, Train Accuracy: 54.9587, Train AUC-ROC: 0.6089, Train F1 Score: 0.1829, Train Precision: 0.6489, Train Recall: 0.1065
Epoch 12/100, Train Loss: 835.7444, Train Accuracy: 55.9504, Train AUC-ROC: 0.6099, Train F1 Score: 0.2397, Train Precision: 0.6562, Train Recall: 0.1466
Epoch 13/100, Train Loss: 834.5602, Train Accuracy: 56.9421, Train AUC-ROC: 0.6088, Train F1 Score: 0.2834, Train Precision: 0.6688, Train Recall: 0.1798
Epoch 14/100, Train Loss: 832.1555, Train Accuracy: 58.6777, Train AUC-ROC: 0.6138, Train F1 Score: 0.3606, Train Precision: 0.6746, Train Recall: 0.2461
Epoch 15/100, Train Loss: 828.4451, Train Accuracy: 60.8264, Train AUC-ROC: 0.6191, Train F1 Score: 0.4303, Train Precision: 0.6911, Train Recall: 0.3124
Epoch 16/100, Train Loss: 830.1937, Train Accuracy: 60.1653, Train AUC-ROC: 0.6111, Train F1 Score: 0.4005, Train Precision: 0.6970, Train Recall: 0.2810
Epoch 17/100, Train Loss: 827.9156, Train Accuracy: 60.4132, Train AUC-ROC: 0.6222, Train F1 Score: 0.4064, Train Precision: 0.7009, Train Recall: 0.2862
Epoch 18/100, Train Loss: 828.2610, Train Accuracy: 60.1653, Train AUC-ROC: 0.6313, Train F1 Score: 0.4020, Train Precision: 0.6953, Train Recall: 0.2827
Epoch 19/100, Train Loss: 824.6033, Train Accuracy: 62.2314, Train AUC-ROC: 0.6373, Train F1 Score: 0.4753, Train Precision: 0.6946, Train Recall: 0.3613
Epoch 20/100, Train Loss: 825.8317, Train Accuracy: 61.6529, Train AUC-ROC: 0.6419, Train F1 Score: 0.4476, Train Precision: 0.7041, Train Recall: 0.3281
Epoch 21/100, Train Loss: 827.1991, Train Accuracy: 60.4959, Train AUC-ROC: 0.6456, Train F1 Score: 0.4142, Train Precision: 0.6955, Train Recall: 0.2949
Epoch 22/100, Train Loss: 826.5768, Train Accuracy: 60.6612, Train AUC-ROC: 0.6433, Train F1 Score: 0.4209, Train Precision: 0.6948, Train Recall: 0.3019
Epoch 23/100, Train Loss: 823.8678, Train Accuracy: 62.3140, Train AUC-ROC: 0.6498, Train F1 Score: 0.4571, Train Precision: 0.7191, Train Recall: 0.3351
Epoch 24/100, Train Loss: 822.0671, Train Accuracy: 62.5620, Train AUC-ROC: 0.6526, Train F1 Score: 0.4775, Train Precision: 0.7041, Train Recall: 0.3613
Epoch 25/100, Train Loss: 822.4333, Train Accuracy: 62.6446, Train AUC-ROC: 0.6500, Train F1 Score: 0.4817, Train Precision: 0.7023, Train Recall: 0.3665
Epoch 26/100, Train Loss: 823.7627, Train Accuracy: 63.1405, Train AUC-ROC: 0.6489, Train F1 Score: 0.5055, Train Precision: 0.6930, Train Recall: 0.3979
Epoch 27/100, Train Loss: 820.9809, Train Accuracy: 63.3058, Train AUC-ROC: 0.6485, Train F1 Score: 0.5011, Train Precision: 0.7035, Train Recall: 0.3892
Epoch 28/100, Train Loss: 818.3598, Train Accuracy: 64.7934, Train AUC-ROC: 0.6599, Train F1 Score: 0.5308, Train Precision: 0.7194, Train Recall: 0.4206
Epoch 29/100, Train Loss: 819.6015, Train Accuracy: 63.7190, Train AUC-ROC: 0.6562, Train F1 Score: 0.4971, Train Precision: 0.7233, Train Recall: 0.3787
Epoch 30/100, Train Loss: 819.7666, Train Accuracy: 63.8843, Train AUC-ROC: 0.6548, Train F1 Score: 0.5128, Train Precision: 0.7099, Train Recall: 0.4014
Epoch 31/100, Train Loss: 821.3214, Train Accuracy: 63.8843, Train AUC-ROC: 0.6504, Train F1 Score: 0.5296, Train Precision: 0.6910, Train Recall: 0.4293
Epoch 32/100, Train Loss: 820.9759, Train Accuracy: 62.7273, Train AUC-ROC: 0.6563, Train F1 Score: 0.4737, Train Precision: 0.7148, Train Recall: 0.3543
Epoch 33/100, Train Loss: 817.9603, Train Accuracy: 64.9587, Train AUC-ROC: 0.6585, Train F1 Score: 0.5401, Train Precision: 0.7135, Train Recall: 0.4346
Epoch 34/100, Train Loss: 820.4119, Train Accuracy: 63.7190, Train AUC-ROC: 0.6575, Train F1 Score: 0.5051, Train Precision: 0.7134, Train Recall: 0.3909
Epoch 35/100, Train Loss: 818.0759, Train Accuracy: 64.4628, Train AUC-ROC: 0.6643, Train F1 Score: 0.5190, Train Precision: 0.7227, Train Recall: 0.4049
Epoch 36/100, Train Loss: 821.0232, Train Accuracy: 64.0496, Train AUC-ROC: 0.6573, Train F1 Score: 0.5338, Train Precision: 0.6917, Train Recall: 0.4346
Epoch 37/100, Train Loss: 820.6838, Train Accuracy: 62.8926, Train AUC-ROC: 0.6509, Train F1 Score: 0.4736, Train Precision: 0.7214, Train Recall: 0.3525
Epoch 38/100, Train Loss: 817.7892, Train Accuracy: 64.8760, Train AUC-ROC: 0.6532, Train F1 Score: 0.5304, Train Precision: 0.7229, Train Recall: 0.4188
Epoch 39/100, Train Loss: 819.7814, Train Accuracy: 64.6281, Train AUC-ROC: 0.6608, Train F1 Score: 0.5427, Train Precision: 0.6997, Train Recall: 0.4433
Epoch 40/100, Train Loss: 817.1727, Train Accuracy: 64.7107, Train AUC-ROC: 0.6620, Train F1 Score: 0.5197, Train Precision: 0.7310, Train Recall: 0.4031
