Epoch 1/100, Train Loss: 2525.4259, Train Accuracy: 76.3270, Train AUC-ROC: 0.6730, Train F1 Score: 0.8581 , Train Precision: 0.7974, Train Recall: 0.9287
Epoch 2/100, Train Loss: 1946.3294, Train Accuracy: 78.0964, Train AUC-ROC: 0.7564, Train F1 Score: 0.8668 , Train Precision: 0.8156, Train Recall: 0.9248
Epoch 3/100, Train Loss: 1762.8662, Train Accuracy: 80.2318, Train AUC-ROC: 0.8324, Train F1 Score: 0.8734 , Train Precision: 0.8620, Train Recall: 0.8852
Epoch 4/100, Train Loss: 1711.8719, Train Accuracy: 82.2453, Train AUC-ROC: 0.8658, Train F1 Score: 0.8844 , Train Precision: 0.8876, Train Recall: 0.8812
Epoch 5/100, Train Loss: 1703.1563, Train Accuracy: 83.0384, Train AUC-ROC: 0.8795, Train F1 Score: 0.8893 , Train Precision: 0.8943, Train Recall: 0.8844
Epoch 6/100, Train Loss: 1583.2217, Train Accuracy: 84.6858, Train AUC-ROC: 0.8954, Train F1 Score: 0.9008 , Train Precision: 0.8991, Train Recall: 0.9026
Epoch 7/100, Train Loss: 1539.4445, Train Accuracy: 85.1129, Train AUC-ROC: 0.9069, Train F1 Score: 0.9038 , Train Precision: 0.9002, Train Recall: 0.9074
Epoch 8/100, Train Loss: 1517.5758, Train Accuracy: 85.7230, Train AUC-ROC: 0.9118, Train F1 Score: 0.9079 , Train Precision: 0.9023, Train Recall: 0.9137
Epoch 9/100, Train Loss: 1494.2223, Train Accuracy: 86.3941, Train AUC-ROC: 0.9166, Train F1 Score: 0.9129 , Train Precision: 0.9012, Train Recall: 0.9248
Epoch 10/100, Train Loss: 1489.2786, Train Accuracy: 86.7602, Train AUC-ROC: 0.9183, Train F1 Score: 0.9152 , Train Precision: 0.9035, Train Recall: 0.9272
Epoch 11/100, Train Loss: 1463.7822, Train Accuracy: 87.0653, Train AUC-ROC: 0.9266, Train F1 Score: 0.9171 , Train Precision: 0.9064, Train Recall: 0.9279
Epoch 12/100, Train Loss: 1447.2572, Train Accuracy: 87.7364, Train AUC-ROC: 0.9303, Train F1 Score: 0.9210 , Train Precision: 0.9148, Train Recall: 0.9272
Epoch 13/100, Train Loss: 1417.3536, Train Accuracy: 88.4686, Train AUC-ROC: 0.9395, Train F1 Score: 0.9258 , Train Precision: 0.9182, Train Recall: 0.9335
Epoch 14/100, Train Loss: 1407.7731, Train Accuracy: 88.2245, Train AUC-ROC: 0.9416, Train F1 Score: 0.9239 , Train Precision: 0.9206, Train Recall: 0.9272
Epoch 15/100, Train Loss: 1386.2714, Train Accuracy: 89.1397, Train AUC-ROC: 0.9477, Train F1 Score: 0.9298 , Train Precision: 0.9268, Train Recall: 0.9327
