Epoch 1/100, Train Loss: 774.7324, Train Accuracy: 74.1306, Train AUC-ROC: 0.7384, Train F1 Score: 0.8337
Epoch 2/100, Train Loss: 574.2861, Train Accuracy: 81.7572, Train AUC-ROC: 0.8814, Train F1 Score: 0.8779
Epoch 3/100, Train Loss: 533.5904, Train Accuracy: 86.2111, Train AUC-ROC: 0.8974, Train F1 Score: 0.9108
Epoch 4/100, Train Loss: 531.6925, Train Accuracy: 85.1739, Train AUC-ROC: 0.8998, Train F1 Score: 0.9026
Epoch 5/100, Train Loss: 500.1598, Train Accuracy: 85.0519, Train AUC-ROC: 0.9142, Train F1 Score: 0.9004
Epoch 6/100, Train Loss: 484.0477, Train Accuracy: 87.9195, Train AUC-ROC: 0.9221, Train F1 Score: 0.9219
Epoch 7/100, Train Loss: 530.9024, Train Accuracy: 86.0891, Train AUC-ROC: 0.9012, Train F1 Score: 0.9113
Epoch 8/100, Train Loss: 508.3428, Train Accuracy: 86.9433, Train AUC-ROC: 0.9089, Train F1 Score: 0.9166
Epoch 9/100, Train Loss: 537.7714, Train Accuracy: 84.9298, Train AUC-ROC: 0.8979, Train F1 Score: 0.9039
Epoch 10/100, Train Loss: 534.8513, Train Accuracy: 85.9671, Train AUC-ROC: 0.8975, Train F1 Score: 0.9115
Epoch 11/100, Train Loss: 541.7012, Train Accuracy: 82.5503, Train AUC-ROC: 0.8960, Train F1 Score: 0.8820
Epoch 12/100, Train Loss: 508.0464, Train Accuracy: 85.1739, Train AUC-ROC: 0.9108, Train F1 Score: 0.9034
Epoch 13/100, Train Loss: 510.6335, Train Accuracy: 85.7840, Train AUC-ROC: 0.9098, Train F1 Score: 0.9084
Epoch 14/100, Train Loss: 615.9102, Train Accuracy: 77.2422, Train AUC-ROC: 0.8561, Train F1 Score: 0.8462
Epoch 15/100, Train Loss: 855.7610, Train Accuracy: 74.8017, Train AUC-ROC: 0.6337, Train F1 Score: 0.8524
Epoch 16/100, Train Loss: 837.7159, Train Accuracy: 77.0592, Train AUC-ROC: 0.6763, Train F1 Score: 0.8703
Epoch 17/100, Train Loss: 815.3106, Train Accuracy: 76.9372, Train AUC-ROC: 0.7176, Train F1 Score: 0.8686
Epoch 18/100, Train Loss: 764.2493, Train Accuracy: 78.0354, Train AUC-ROC: 0.7672, Train F1 Score: 0.8670
Epoch 19/100, Train Loss: 698.1336, Train Accuracy: 79.3777, Train AUC-ROC: 0.8128, Train F1 Score: 0.8680
Epoch 20/100, Train Loss: 669.5106, Train Accuracy: 79.5607, Train AUC-ROC: 0.8304, Train F1 Score: 0.8668
Epoch 21/100, Train Loss: 657.2700, Train Accuracy: 79.8048, Train AUC-ROC: 0.8377, Train F1 Score: 0.8680
Epoch 22/100, Train Loss: 652.9021, Train Accuracy: 80.0488, Train AUC-ROC: 0.8414, Train F1 Score: 0.8685
Epoch 23/100, Train Loss: 646.7431, Train Accuracy: 79.4387, Train AUC-ROC: 0.8434, Train F1 Score: 0.8647
Epoch 24/100, Train Loss: 642.5053, Train Accuracy: 80.3539, Train AUC-ROC: 0.8463, Train F1 Score: 0.8712
