Epoch 1/100, Train Loss: 854.4186, Train Accuracy: 74.5577, Train AUC-ROC: 0.6536, Train F1 Score: 0.8448 , Train Precision: 0.7971, Train Recall: 0.8987
Epoch 2/100, Train Loss: 661.4949, Train Accuracy: 79.9878, Train AUC-ROC: 0.8365, Train F1 Score: 0.8706 , Train Precision: 0.8678, Train Recall: 0.8733
Epoch 3/100, Train Loss: 517.6215, Train Accuracy: 85.1739, Train AUC-ROC: 0.9075, Train F1 Score: 0.9037 , Train Precision: 0.9048, Train Recall: 0.9026
Epoch 4/100, Train Loss: 470.0526, Train Accuracy: 86.2111, Train AUC-ROC: 0.9245, Train F1 Score: 0.9095 , Train Precision: 0.9205, Train Recall: 0.8987
Epoch 5/100, Train Loss: 480.1284, Train Accuracy: 86.2111, Train AUC-ROC: 0.9228, Train F1 Score: 0.9102 , Train Precision: 0.9131, Train Recall: 0.9074
Epoch 6/100, Train Loss: 443.1002, Train Accuracy: 87.0043, Train AUC-ROC: 0.9347, Train F1 Score: 0.9144 , Train Precision: 0.9289, Train Recall: 0.9002
Epoch 7/100, Train Loss: 449.6143, Train Accuracy: 87.3703, Train AUC-ROC: 0.9326, Train F1 Score: 0.9171 , Train Precision: 0.9279, Train Recall: 0.9066
Epoch 8/100, Train Loss: 450.4684, Train Accuracy: 87.4314, Train AUC-ROC: 0.9321, Train F1 Score: 0.9175 , Train Precision: 0.9279, Train Recall: 0.9074
Epoch 9/100, Train Loss: 451.1072, Train Accuracy: 86.8822, Train AUC-ROC: 0.9320, Train F1 Score: 0.9138 , Train Precision: 0.9253, Train Recall: 0.9026
Epoch 10/100, Train Loss: 454.9320, Train Accuracy: 85.5400, Train AUC-ROC: 0.9296, Train F1 Score: 0.9037 , Train Precision: 0.9282, Train Recall: 0.8804
Epoch 11/100, Train Loss: 443.2950, Train Accuracy: 87.1873, Train AUC-ROC: 0.9346, Train F1 Score: 0.9157 , Train Precision: 0.9291, Train Recall: 0.9026
Epoch 12/100, Train Loss: 469.3859, Train Accuracy: 85.8450, Train AUC-ROC: 0.9269, Train F1 Score: 0.9052 , Train Precision: 0.9350, Train Recall: 0.8773
Epoch 13/100, Train Loss: 471.9889, Train Accuracy: 84.5027, Train AUC-ROC: 0.9228, Train F1 Score: 0.8958 , Train Precision: 0.9294, Train Recall: 0.8646
Epoch 14/100, Train Loss: 470.3468, Train Accuracy: 84.4417, Train AUC-ROC: 0.9235, Train F1 Score: 0.8959 , Train Precision: 0.9250, Train Recall: 0.8686
Epoch 15/100, Train Loss: 490.4592, Train Accuracy: 86.2111, Train AUC-ROC: 0.9198, Train F1 Score: 0.9097 , Train Precision: 0.9178, Train Recall: 0.9018
Epoch 16/100, Train Loss: 457.8420, Train Accuracy: 87.1873, Train AUC-ROC: 0.9292, Train F1 Score: 0.9162 , Train Precision: 0.9236, Train Recall: 0.9089
Epoch 17/100, Train Loss: 431.4827, Train Accuracy: 87.4924, Train AUC-ROC: 0.9379, Train F1 Score: 0.9169 , Train Precision: 0.9394, Train Recall: 0.8955
Epoch 18/100, Train Loss: 428.9348, Train Accuracy: 86.9433, Train AUC-ROC: 0.9381, Train F1 Score: 0.9131 , Train Precision: 0.9374, Train Recall: 0.8899
Epoch 19/100, Train Loss: 427.8928, Train Accuracy: 87.0043, Train AUC-ROC: 0.9388, Train F1 Score: 0.9133 , Train Precision: 0.9397, Train Recall: 0.8884
Epoch 20/100, Train Loss: 467.9429, Train Accuracy: 87.0043, Train AUC-ROC: 0.9274, Train F1 Score: 0.9155 , Train Precision: 0.9173, Train Recall: 0.9137
Epoch 21/100, Train Loss: 465.0086, Train Accuracy: 85.5400, Train AUC-ROC: 0.9264, Train F1 Score: 0.9030 , Train Precision: 0.9347, Train Recall: 0.8733
Epoch 22/100, Train Loss: 446.3193, Train Accuracy: 86.4552, Train AUC-ROC: 0.9326, Train F1 Score: 0.9107 , Train Precision: 0.9256, Train Recall: 0.8963
Epoch 23/100, Train Loss: 511.5174, Train Accuracy: 86.6992, Train AUC-ROC: 0.9119, Train F1 Score: 0.9132 , Train Precision: 0.9183, Train Recall: 0.9082
Epoch 24/100, Train Loss: 549.8583, Train Accuracy: 85.3569, Train AUC-ROC: 0.8943, Train F1 Score: 0.9043 , Train Precision: 0.9108, Train Recall: 0.8979
Epoch 25/100, Train Loss: 529.2557, Train Accuracy: 85.2349, Train AUC-ROC: 0.9036, Train F1 Score: 0.9031 , Train Precision: 0.9134, Train Recall: 0.8931
