Epoch 1/100, Train Loss: 1558.1187, Train Accuracy: 64.0867, Train AUC-ROC: 0.7470, Train F1 Score: 0.5167
Epoch 2/100, Train Loss: 1141.6531, Train Accuracy: 79.0248, Train AUC-ROC: 0.8828, Train F1 Score: 0.7688
Epoch 3/100, Train Loss: 925.1743, Train Accuracy: 85.5263, Train AUC-ROC: 0.9228, Train F1 Score: 0.8478
Epoch 4/100, Train Loss: 815.8174, Train Accuracy: 87.3452, Train AUC-ROC: 0.9395, Train F1 Score: 0.8685
Epoch 5/100, Train Loss: 734.9074, Train Accuracy: 88.6997, Train AUC-ROC: 0.9504, Train F1 Score: 0.8832
Epoch 6/100, Train Loss: 700.5270, Train Accuracy: 89.5898, Train AUC-ROC: 0.9541, Train F1 Score: 0.8938
Epoch 7/100, Train Loss: 656.2327, Train Accuracy: 89.6672, Train AUC-ROC: 0.9603, Train F1 Score: 0.8947
Epoch 8/100, Train Loss: 643.0791, Train Accuracy: 90.2477, Train AUC-ROC: 0.9613, Train F1 Score: 0.9009
Epoch 9/100, Train Loss: 645.8216, Train Accuracy: 90.0542, Train AUC-ROC: 0.9607, Train F1 Score: 0.8995
Epoch 10/100, Train Loss: 595.4029, Train Accuracy: 90.2864, Train AUC-ROC: 0.9676, Train F1 Score: 0.9024
Epoch 11/100, Train Loss: 580.4192, Train Accuracy: 90.8669, Train AUC-ROC: 0.9682, Train F1 Score: 0.9081
Epoch 12/100, Train Loss: 577.3637, Train Accuracy: 90.7121, Train AUC-ROC: 0.9687, Train F1 Score: 0.9067
Epoch 13/100, Train Loss: 579.5691, Train Accuracy: 90.7121, Train AUC-ROC: 0.9679, Train F1 Score: 0.9068
Epoch 14/100, Train Loss: 545.0833, Train Accuracy: 91.2539, Train AUC-ROC: 0.9722, Train F1 Score: 0.9122
Epoch 15/100, Train Loss: 562.2143, Train Accuracy: 91.1765, Train AUC-ROC: 0.9699, Train F1 Score: 0.9114
Epoch 16/100, Train Loss: 559.2471, Train Accuracy: 91.2152, Train AUC-ROC: 0.9712, Train F1 Score: 0.9112
Epoch 17/100, Train Loss: 532.6097, Train Accuracy: 91.6409, Train AUC-ROC: 0.9734, Train F1 Score: 0.9159
Epoch 18/100, Train Loss: 547.5425, Train Accuracy: 91.9118, Train AUC-ROC: 0.9711, Train F1 Score: 0.9186
Epoch 19/100, Train Loss: 534.4332, Train Accuracy: 91.9118, Train AUC-ROC: 0.9730, Train F1 Score: 0.9187
Epoch 20/100, Train Loss: 542.4603, Train Accuracy: 91.6409, Train AUC-ROC: 0.9726, Train F1 Score: 0.9161
Epoch 21/100, Train Loss: 529.2046, Train Accuracy: 91.5635, Train AUC-ROC: 0.9737, Train F1 Score: 0.9153
Epoch 22/100, Train Loss: 517.0734, Train Accuracy: 91.6796, Train AUC-ROC: 0.9746, Train F1 Score: 0.9162
Epoch 23/100, Train Loss: 514.1291, Train Accuracy: 92.0279, Train AUC-ROC: 0.9751, Train F1 Score: 0.9198
Epoch 24/100, Train Loss: 516.6035, Train Accuracy: 92.3762, Train AUC-ROC: 0.9752, Train F1 Score: 0.9240
Epoch 25/100, Train Loss: 508.5755, Train Accuracy: 91.6409, Train AUC-ROC: 0.9754, Train F1 Score: 0.9159
Epoch 26/100, Train Loss: 526.5178, Train Accuracy: 92.2988, Train AUC-ROC: 0.9737, Train F1 Score: 0.9225
Epoch 27/100, Train Loss: 518.0896, Train Accuracy: 91.7957, Train AUC-ROC: 0.9745, Train F1 Score: 0.9175
Epoch 28/100, Train Loss: 501.1948, Train Accuracy: 92.3762, Train AUC-ROC: 0.9755, Train F1 Score: 0.9239
Epoch 29/100, Train Loss: 503.5244, Train Accuracy: 91.9505, Train AUC-ROC: 0.9759, Train F1 Score: 0.9194
Epoch 30/100, Train Loss: 489.1249, Train Accuracy: 92.7245, Train AUC-ROC: 0.9770, Train F1 Score: 0.9271
Epoch 31/100, Train Loss: 509.4121, Train Accuracy: 92.6858, Train AUC-ROC: 0.9752, Train F1 Score: 0.9267
Epoch 32/100, Train Loss: 467.7782, Train Accuracy: 92.7632, Train AUC-ROC: 0.9784, Train F1 Score: 0.9270
Epoch 33/100, Train Loss: 474.9050, Train Accuracy: 92.7245, Train AUC-ROC: 0.9790, Train F1 Score: 0.9268
Epoch 34/100, Train Loss: 485.3256, Train Accuracy: 92.8019, Train AUC-ROC: 0.9770, Train F1 Score: 0.9280
Epoch 35/100, Train Loss: 499.8320, Train Accuracy: 92.6858, Train AUC-ROC: 0.9766, Train F1 Score: 0.9268
Epoch 36/100, Train Loss: 479.1399, Train Accuracy: 92.8406, Train AUC-ROC: 0.9777, Train F1 Score: 0.9284
Epoch 37/100, Train Loss: 476.2637, Train Accuracy: 92.5310, Train AUC-ROC: 0.9783, Train F1 Score: 0.9252
Epoch 38/100, Train Loss: 476.0055, Train Accuracy: 92.7245, Train AUC-ROC: 0.9783, Train F1 Score: 0.9271
Epoch 39/100, Train Loss: 463.0049, Train Accuracy: 93.3824, Train AUC-ROC: 0.9794, Train F1 Score: 0.9340
Epoch 40/100, Train Loss: 492.6467, Train Accuracy: 92.5697, Train AUC-ROC: 0.9769, Train F1 Score: 0.9258
Epoch 41/100, Train Loss: 462.9508, Train Accuracy: 93.2276, Train AUC-ROC: 0.9795, Train F1 Score: 0.9322
Epoch 42/100, Train Loss: 473.0578, Train Accuracy: 92.5697, Train AUC-ROC: 0.9781, Train F1 Score: 0.9258
Epoch 43/100, Train Loss: 451.2327, Train Accuracy: 93.6533, Train AUC-ROC: 0.9800, Train F1 Score: 0.9364
Epoch 44/100, Train Loss: 469.7015, Train Accuracy: 93.3050, Train AUC-ROC: 0.9786, Train F1 Score: 0.9330
Epoch 45/100, Train Loss: 457.3748, Train Accuracy: 93.2276, Train AUC-ROC: 0.9798, Train F1 Score: 0.9324
