Epoch 1/100, Train Loss: 203735.3485, Train Accuracy: 57.8947, Train AUC-ROC: 0.6730, Train F1 Score: 0.3485 , Train Precision: 0.7823, Train Recall: 0.2242
Epoch 2/100, Train Loss: 162293.9308, Train Accuracy: 73.4520, Train AUC-ROC: 0.8384, Train F1 Score: 0.6850 , Train Precision: 0.8477, Train Recall: 0.5747
Epoch 3/100, Train Loss: 160471.0069, Train Accuracy: 83.3978, Train AUC-ROC: 0.9055, Train F1 Score: 0.8213 , Train Precision: 0.8939, Train Recall: 0.7596
Epoch 4/100, Train Loss: 144472.0589, Train Accuracy: 86.0294, Train AUC-ROC: 0.9281, Train F1 Score: 0.8528 , Train Precision: 0.9056, Train Recall: 0.8059
Epoch 5/100, Train Loss: 160040.9081, Train Accuracy: 86.8421, Train AUC-ROC: 0.9364, Train F1 Score: 0.8618 , Train Precision: 0.9122, Train Recall: 0.8166
Epoch 6/100, Train Loss: 143897.3976, Train Accuracy: 88.0031, Train AUC-ROC: 0.9443, Train F1 Score: 0.8745 , Train Precision: 0.9215, Train Recall: 0.8320
Epoch 7/100, Train Loss: 99614.0565, Train Accuracy: 88.4675, Train AUC-ROC: 0.9505, Train F1 Score: 0.8801 , Train Precision: 0.9209, Train Recall: 0.8428
Epoch 8/100, Train Loss: 96219.0834, Train Accuracy: 88.6610, Train AUC-ROC: 0.9488, Train F1 Score: 0.8822 , Train Precision: 0.9226, Train Recall: 0.8451
Epoch 9/100, Train Loss: 94900.5854, Train Accuracy: 88.6610, Train AUC-ROC: 0.9527, Train F1 Score: 0.8821 , Train Precision: 0.9233, Train Recall: 0.8444
Epoch 10/100, Train Loss: 106372.2101, Train Accuracy: 89.3963, Train AUC-ROC: 0.9553, Train F1 Score: 0.8900 , Train Precision: 0.9288, Train Recall: 0.8544
Epoch 11/100, Train Loss: 104413.9797, Train Accuracy: 89.3963, Train AUC-ROC: 0.9575, Train F1 Score: 0.8900 , Train Precision: 0.9288, Train Recall: 0.8544
Epoch 12/100, Train Loss: 102399.9168, Train Accuracy: 89.8220, Train AUC-ROC: 0.9560, Train F1 Score: 0.8954 , Train Precision: 0.9252, Train Recall: 0.8675
Epoch 13/100, Train Loss: 103223.4733, Train Accuracy: 89.4737, Train AUC-ROC: 0.9554, Train F1 Score: 0.8912 , Train Precision: 0.9268, Train Recall: 0.8582
Epoch 14/100, Train Loss: 128805.3750, Train Accuracy: 89.7446, Train AUC-ROC: 0.9583, Train F1 Score: 0.8944 , Train Precision: 0.9265, Train Recall: 0.8644
Epoch 15/100, Train Loss: 150792.7048, Train Accuracy: 89.9381, Train AUC-ROC: 0.9595, Train F1 Score: 0.8963 , Train Precision: 0.9289, Train Recall: 0.8659
Epoch 16/100, Train Loss: 136347.7234, Train Accuracy: 89.8994, Train AUC-ROC: 0.9600, Train F1 Score: 0.8962 , Train Precision: 0.9260, Train Recall: 0.8683
Epoch 17/100, Train Loss: 105474.5238, Train Accuracy: 89.9381, Train AUC-ROC: 0.9566, Train F1 Score: 0.8967 , Train Precision: 0.9254, Train Recall: 0.8698
Epoch 18/100, Train Loss: 106020.5505, Train Accuracy: 90.5960, Train AUC-ROC: 0.9602, Train F1 Score: 0.9030 , Train Precision: 0.9370, Train Recall: 0.8713
Epoch 19/100, Train Loss: 99172.6481, Train Accuracy: 90.5186, Train AUC-ROC: 0.9595, Train F1 Score: 0.9024 , Train Precision: 0.9340, Train Recall: 0.8729
Epoch 20/100, Train Loss: 95712.2366, Train Accuracy: 90.0542, Train AUC-ROC: 0.9607, Train F1 Score: 0.8971 , Train Precision: 0.9341, Train Recall: 0.8629
Epoch 21/100, Train Loss: 95109.3554, Train Accuracy: 89.7059, Train AUC-ROC: 0.9593, Train F1 Score: 0.8939 , Train Precision: 0.9272, Train Recall: 0.8629
