Epoch 1/100, Train Loss: 1683.4342, Train Accuracy: 71.2461, Train AUC-ROC: 0.7794, Train F1 Score: 0.6419, Train Precision: 0.8571, Train Recall: 0.5131
Epoch 2/100, Train Loss: 1557.8607, Train Accuracy: 87.6935, Train AUC-ROC: 0.9297, Train F1 Score: 0.8723, Train Precision: 0.9111, Train Recall: 0.8367
Epoch 3/100, Train Loss: 1539.5175, Train Accuracy: 89.2802, Train AUC-ROC: 0.9394, Train F1 Score: 0.8874, Train Precision: 0.9390, Train Recall: 0.8413
Epoch 4/100, Train Loss: 1527.8301, Train Accuracy: 90.9056, Train AUC-ROC: 0.9430, Train F1 Score: 0.9057, Train Precision: 0.9448, Train Recall: 0.8698
Epoch 5/100, Train Loss: 1524.9380, Train Accuracy: 91.2152, Train AUC-ROC: 0.9474, Train F1 Score: 0.9089, Train Precision: 0.9489, Train Recall: 0.8721
Epoch 6/100, Train Loss: 1525.6097, Train Accuracy: 91.1378, Train AUC-ROC: 0.9450, Train F1 Score: 0.9082, Train Precision: 0.9465, Train Recall: 0.8729
Epoch 7/100, Train Loss: 1522.7776, Train Accuracy: 91.2539, Train AUC-ROC: 0.9467, Train F1 Score: 0.9088, Train Precision: 0.9542, Train Recall: 0.8675
Epoch 8/100, Train Loss: 1520.6961, Train Accuracy: 91.6796, Train AUC-ROC: 0.9511, Train F1 Score: 0.9143, Train Precision: 0.9472, Train Recall: 0.8837
Epoch 9/100, Train Loss: 1518.9241, Train Accuracy: 91.8344, Train AUC-ROC: 0.9551, Train F1 Score: 0.9158, Train Precision: 0.9495, Train Recall: 0.8844
Epoch 10/100, Train Loss: 1516.0738, Train Accuracy: 92.4536, Train AUC-ROC: 0.9524, Train F1 Score: 0.9225, Train Precision: 0.9532, Train Recall: 0.8937
Epoch 11/100, Train Loss: 1515.5258, Train Accuracy: 92.5310, Train AUC-ROC: 0.9539, Train F1 Score: 0.9237, Train Precision: 0.9488, Train Recall: 0.8998
Epoch 12/100, Train Loss: 1516.1714, Train Accuracy: 92.4536, Train AUC-ROC: 0.9566, Train F1 Score: 0.9234, Train Precision: 0.9416, Train Recall: 0.9060
Epoch 13/100, Train Loss: 1514.4048, Train Accuracy: 92.6471, Train AUC-ROC: 0.9582, Train F1 Score: 0.9251, Train Precision: 0.9468, Train Recall: 0.9045
Epoch 14/100, Train Loss: 1511.9718, Train Accuracy: 92.9567, Train AUC-ROC: 0.9619, Train F1 Score: 0.9286, Train Precision: 0.9457, Train Recall: 0.9122
Epoch 15/100, Train Loss: 1509.7410, Train Accuracy: 93.4985, Train AUC-ROC: 0.9641, Train F1 Score: 0.9341, Train Precision: 0.9513, Train Recall: 0.9176
Epoch 16/100, Train Loss: 1511.1480, Train Accuracy: 92.7245, Train AUC-ROC: 0.9695, Train F1 Score: 0.9258, Train Precision: 0.9490, Train Recall: 0.9037
Epoch 17/100, Train Loss: 1509.3020, Train Accuracy: 93.1115, Train AUC-ROC: 0.9712, Train F1 Score: 0.9293, Train Precision: 0.9590, Train Recall: 0.9014
Epoch 18/100, Train Loss: 1509.3209, Train Accuracy: 93.0728, Train AUC-ROC: 0.9685, Train F1 Score: 0.9290, Train Precision: 0.9575, Train Recall: 0.9022
Epoch 19/100, Train Loss: 1507.6961, Train Accuracy: 93.4211, Train AUC-ROC: 0.9728, Train F1 Score: 0.9330, Train Precision: 0.9556, Train Recall: 0.9114
Epoch 20/100, Train Loss: 1506.5071, Train Accuracy: 93.7307, Train AUC-ROC: 0.9710, Train F1 Score: 0.9367, Train Precision: 0.9508, Train Recall: 0.9230
Epoch 21/100, Train Loss: 1504.7071, Train Accuracy: 93.7693, Train AUC-ROC: 0.9738, Train F1 Score: 0.9369, Train Precision: 0.9530, Train Recall: 0.9214
Epoch 22/100, Train Loss: 1503.8204, Train Accuracy: 94.0402, Train AUC-ROC: 0.9729, Train F1 Score: 0.9397, Train Precision: 0.9561, Train Recall: 0.9237
Epoch 23/100, Train Loss: 1503.6733, Train Accuracy: 94.0789, Train AUC-ROC: 0.9748, Train F1 Score: 0.9401, Train Precision: 0.9554, Train Recall: 0.9253
Epoch 24/100, Train Loss: 1501.9034, Train Accuracy: 94.0789, Train AUC-ROC: 0.9748, Train F1 Score: 0.9399, Train Precision: 0.9591, Train Recall: 0.9214
