Epoch 1/100, Train Loss: 9372.8220, Train Accuracy: 81.9000, Train AUC-ROC: 0.9187, Train F1 Score: 0.7984 , Train Precision: 0.9044, Train Recall: 0.7146
Epoch 2/100, Train Loss: 7801.7358, Train Accuracy: 89.3000, Train AUC-ROC: 0.9612, Train F1 Score: 0.8875 , Train Precision: 0.9386, Train Recall: 0.8417
Epoch 3/100, Train Loss: 7530.6954, Train Accuracy: 89.8250, Train AUC-ROC: 0.9659, Train F1 Score: 0.8928 , Train Precision: 0.9461, Train Recall: 0.8452
Epoch 4/100, Train Loss: 7339.3278, Train Accuracy: 90.3250, Train AUC-ROC: 0.9673, Train F1 Score: 0.8984 , Train Precision: 0.9490, Train Recall: 0.8529
Epoch 5/100, Train Loss: 7150.3228, Train Accuracy: 90.5000, Train AUC-ROC: 0.9686, Train F1 Score: 0.9004 , Train Precision: 0.9497, Train Recall: 0.8559
Epoch 6/100, Train Loss: 6974.9786, Train Accuracy: 90.5375, Train AUC-ROC: 0.9686, Train F1 Score: 0.9006 , Train Precision: 0.9512, Train Recall: 0.8552
Epoch 7/100, Train Loss: 6861.8284, Train Accuracy: 90.5375, Train AUC-ROC: 0.9692, Train F1 Score: 0.9006 , Train Precision: 0.9515, Train Recall: 0.8549
Epoch 8/100, Train Loss: 6766.4802, Train Accuracy: 90.7625, Train AUC-ROC: 0.9700, Train F1 Score: 0.9033 , Train Precision: 0.9507, Train Recall: 0.8604
Epoch 9/100, Train Loss: 6684.6884, Train Accuracy: 90.8625, Train AUC-ROC: 0.9705, Train F1 Score: 0.9043 , Train Precision: 0.9521, Train Recall: 0.8612
Epoch 10/100, Train Loss: 6635.6389, Train Accuracy: 90.6500, Train AUC-ROC: 0.9705, Train F1 Score: 0.9019 , Train Precision: 0.9516, Train Recall: 0.8572
Epoch 11/100, Train Loss: 6589.2560, Train Accuracy: 90.8500, Train AUC-ROC: 0.9701, Train F1 Score: 0.9041 , Train Precision: 0.9530, Train Recall: 0.8599
Epoch 12/100, Train Loss: 6587.0852, Train Accuracy: 90.8250, Train AUC-ROC: 0.9700, Train F1 Score: 0.9036 , Train Precision: 0.9545, Train Recall: 0.8579
Epoch 13/100, Train Loss: 6510.0063, Train Accuracy: 91.0875, Train AUC-ROC: 0.9707, Train F1 Score: 0.9068 , Train Precision: 0.9533, Train Recall: 0.8647
Epoch 14/100, Train Loss: 6464.3688, Train Accuracy: 90.7625, Train AUC-ROC: 0.9707, Train F1 Score: 0.9032 , Train Precision: 0.9517, Train Recall: 0.8594
Epoch 15/100, Train Loss: 6400.6936, Train Accuracy: 91.0750, Train AUC-ROC: 0.9712, Train F1 Score: 0.9065 , Train Precision: 0.9553, Train Recall: 0.8624
Epoch 16/100, Train Loss: 6360.5618, Train Accuracy: 90.9500, Train AUC-ROC: 0.9708, Train F1 Score: 0.9052 , Train Precision: 0.9531, Train Recall: 0.8619
Epoch 17/100, Train Loss: 6307.4854, Train Accuracy: 90.8625, Train AUC-ROC: 0.9722, Train F1 Score: 0.9043 , Train Precision: 0.9526, Train Recall: 0.8607
Epoch 18/100, Train Loss: 6301.3630, Train Accuracy: 90.9500, Train AUC-ROC: 0.9715, Train F1 Score: 0.9053 , Train Precision: 0.9529, Train Recall: 0.8622
Epoch 19/100, Train Loss: 6300.4389, Train Accuracy: 90.9125, Train AUC-ROC: 0.9710, Train F1 Score: 0.9048 , Train Precision: 0.9534, Train Recall: 0.8609
Epoch 20/100, Train Loss: 6233.4371, Train Accuracy: 91.3250, Train AUC-ROC: 0.9712, Train F1 Score: 0.9092 , Train Precision: 0.9573, Train Recall: 0.8657
Epoch 21/100, Train Loss: 6203.1894, Train Accuracy: 90.9500, Train AUC-ROC: 0.9718, Train F1 Score: 0.9053 , Train Precision: 0.9521, Train Recall: 0.8629
Epoch 22/100, Train Loss: 6191.9512, Train Accuracy: 90.9500, Train AUC-ROC: 0.9717, Train F1 Score: 0.9052 , Train Precision: 0.9531, Train Recall: 0.8619
