Epoch 1/100, Train Loss: 360808.2359, Train Accuracy: 80.7000, Train AUC-ROC: 0.9085, Train F1 Score: 0.7828
Epoch 2/100, Train Loss: 339873.9985, Train Accuracy: 86.5750, Train AUC-ROC: 0.9437, Train F1 Score: 0.8576
Epoch 3/100, Train Loss: 333966.8640, Train Accuracy: 86.7625, Train AUC-ROC: 0.9468, Train F1 Score: 0.8598
Epoch 4/100, Train Loss: 331318.3774, Train Accuracy: 86.7750, Train AUC-ROC: 0.9470, Train F1 Score: 0.8599
Epoch 5/100, Train Loss: 309378.3778, Train Accuracy: 86.8250, Train AUC-ROC: 0.9467, Train F1 Score: 0.8603
Epoch 6/100, Train Loss: 273935.4859, Train Accuracy: 87.2875, Train AUC-ROC: 0.9472, Train F1 Score: 0.8654
Epoch 7/100, Train Loss: 283800.3776, Train Accuracy: 87.2625, Train AUC-ROC: 0.9477, Train F1 Score: 0.8652
Epoch 8/100, Train Loss: 332412.6198, Train Accuracy: 87.6375, Train AUC-ROC: 0.9489, Train F1 Score: 0.8695
Epoch 9/100, Train Loss: 337415.0197, Train Accuracy: 87.2875, Train AUC-ROC: 0.9491, Train F1 Score: 0.8659
Epoch 10/100, Train Loss: 317587.0370, Train Accuracy: 87.5125, Train AUC-ROC: 0.9500, Train F1 Score: 0.8680
Epoch 11/100, Train Loss: 293537.3021, Train Accuracy: 87.6625, Train AUC-ROC: 0.9508, Train F1 Score: 0.8697
Epoch 12/100, Train Loss: 249440.3444, Train Accuracy: 87.5375, Train AUC-ROC: 0.9492, Train F1 Score: 0.8684
Epoch 13/100, Train Loss: 250273.3375, Train Accuracy: 87.7875, Train AUC-ROC: 0.9502, Train F1 Score: 0.8712
Epoch 14/100, Train Loss: 237346.8133, Train Accuracy: 87.8000, Train AUC-ROC: 0.9499, Train F1 Score: 0.8713
Epoch 15/100, Train Loss: 249973.8151, Train Accuracy: 87.6375, Train AUC-ROC: 0.9510, Train F1 Score: 0.8696
Epoch 16/100, Train Loss: 236965.8203, Train Accuracy: 87.8625, Train AUC-ROC: 0.9516, Train F1 Score: 0.8722
Epoch 17/100, Train Loss: 233474.2825, Train Accuracy: 87.6625, Train AUC-ROC: 0.9522, Train F1 Score: 0.8698
Epoch 18/100, Train Loss: 242274.8886, Train Accuracy: 87.9125, Train AUC-ROC: 0.9516, Train F1 Score: 0.8729
Epoch 19/100, Train Loss: 287722.4295, Train Accuracy: 87.6875, Train AUC-ROC: 0.9511, Train F1 Score: 0.8701
Epoch 20/100, Train Loss: 258494.4512, Train Accuracy: 87.9125, Train AUC-ROC: 0.9509, Train F1 Score: 0.8728
Epoch 21/100, Train Loss: 232630.5683, Train Accuracy: 87.7000, Train AUC-ROC: 0.9504, Train F1 Score: 0.8701
Epoch 22/100, Train Loss: 226249.4654, Train Accuracy: 88.2500, Train AUC-ROC: 0.9524, Train F1 Score: 0.8763
Epoch 23/100, Train Loss: 222583.2722, Train Accuracy: 87.8250, Train AUC-ROC: 0.9529, Train F1 Score: 0.8717
Epoch 24/100, Train Loss: 222480.8939, Train Accuracy: 88.0375, Train AUC-ROC: 0.9521, Train F1 Score: 0.8738
Epoch 25/100, Train Loss: 221224.6835, Train Accuracy: 88.0000, Train AUC-ROC: 0.9516, Train F1 Score: 0.8735
Epoch 26/100, Train Loss: 219763.8244, Train Accuracy: 88.2250, Train AUC-ROC: 0.9526, Train F1 Score: 0.8756
Epoch 27/100, Train Loss: 219057.0492, Train Accuracy: 88.1375, Train AUC-ROC: 0.9529, Train F1 Score: 0.8751
Epoch 28/100, Train Loss: 218264.0414, Train Accuracy: 88.0500, Train AUC-ROC: 0.9544, Train F1 Score: 0.8740
