Epoch 1/100, Train Loss: 3744.5236, Train Accuracy: 73.9125, Train AUC-ROC: 0.8584, Train F1 Score: 0.6864 , Train Precision: 0.8642, Train Recall: 0.5693
Epoch 2/100, Train Loss: 2641.8039, Train Accuracy: 85.2375, Train AUC-ROC: 0.9340, Train F1 Score: 0.8429 , Train Precision: 0.9039, Train Recall: 0.7896
Epoch 3/100, Train Loss: 2333.3811, Train Accuracy: 87.4500, Train AUC-ROC: 0.9487, Train F1 Score: 0.8675 , Train Precision: 0.9215, Train Recall: 0.8195
Epoch 4/100, Train Loss: 2124.3979, Train Accuracy: 88.4500, Train AUC-ROC: 0.9567, Train F1 Score: 0.8793 , Train Precision: 0.9235, Train Recall: 0.8392
Epoch 5/100, Train Loss: 1926.5747, Train Accuracy: 89.7750, Train AUC-ROC: 0.9633, Train F1 Score: 0.8928 , Train Precision: 0.9414, Train Recall: 0.8490
Epoch 6/100, Train Loss: 1897.9226, Train Accuracy: 89.5250, Train AUC-ROC: 0.9646, Train F1 Score: 0.8899 , Train Precision: 0.9411, Train Recall: 0.8440
Epoch 7/100, Train Loss: 1865.6227, Train Accuracy: 90.1000, Train AUC-ROC: 0.9654, Train F1 Score: 0.8958 , Train Precision: 0.9485, Train Recall: 0.8487
Epoch 8/100, Train Loss: 1832.0268, Train Accuracy: 90.3750, Train AUC-ROC: 0.9664, Train F1 Score: 0.8991 , Train Precision: 0.9478, Train Recall: 0.8552
Epoch 9/100, Train Loss: 1771.7417, Train Accuracy: 90.4250, Train AUC-ROC: 0.9691, Train F1 Score: 0.8996 , Train Precision: 0.9486, Train Recall: 0.8554
Epoch 10/100, Train Loss: 1764.7245, Train Accuracy: 90.5000, Train AUC-ROC: 0.9693, Train F1 Score: 0.9003 , Train Precision: 0.9504, Train Recall: 0.8552
Epoch 11/100, Train Loss: 1767.9590, Train Accuracy: 90.4375, Train AUC-ROC: 0.9690, Train F1 Score: 0.8999 , Train Precision: 0.9476, Train Recall: 0.8567
Epoch 12/100, Train Loss: 1770.2564, Train Accuracy: 90.6625, Train AUC-ROC: 0.9690, Train F1 Score: 0.9022 , Train Precision: 0.9503, Train Recall: 0.8587
Epoch 13/100, Train Loss: 1777.0905, Train Accuracy: 90.6750, Train AUC-ROC: 0.9687, Train F1 Score: 0.9024 , Train Precision: 0.9501, Train Recall: 0.8592
Epoch 14/100, Train Loss: 1727.4860, Train Accuracy: 91.0500, Train AUC-ROC: 0.9701, Train F1 Score: 0.9064 , Train Precision: 0.9530, Train Recall: 0.8642
Epoch 15/100, Train Loss: 1696.5705, Train Accuracy: 90.9000, Train AUC-ROC: 0.9713, Train F1 Score: 0.9045 , Train Precision: 0.9543, Train Recall: 0.8597
Epoch 16/100, Train Loss: 1696.9747, Train Accuracy: 90.8750, Train AUC-ROC: 0.9714, Train F1 Score: 0.9046 , Train Precision: 0.9503, Train Recall: 0.8632
Epoch 17/100, Train Loss: 1675.1751, Train Accuracy: 90.9375, Train AUC-ROC: 0.9718, Train F1 Score: 0.9051 , Train Precision: 0.9529, Train Recall: 0.8619
Epoch 18/100, Train Loss: 1742.1231, Train Accuracy: 90.5750, Train AUC-ROC: 0.9699, Train F1 Score: 0.9014 , Train Precision: 0.9483, Train Recall: 0.8589
Epoch 19/100, Train Loss: 1723.3873, Train Accuracy: 90.8625, Train AUC-ROC: 0.9707, Train F1 Score: 0.9047 , Train Precision: 0.9486, Train Recall: 0.8647
Epoch 20/100, Train Loss: 1696.5615, Train Accuracy: 91.0625, Train AUC-ROC: 0.9712, Train F1 Score: 0.9064 , Train Precision: 0.9548, Train Recall: 0.8627
Epoch 21/100, Train Loss: 1653.6423, Train Accuracy: 91.3750, Train AUC-ROC: 0.9726, Train F1 Score: 0.9099 , Train Precision: 0.9553, Train Recall: 0.8686
Epoch 22/100, Train Loss: 1840.4423, Train Accuracy: 90.3125, Train AUC-ROC: 0.9667, Train F1 Score: 0.8988 , Train Precision: 0.9440, Train Recall: 0.8577
Epoch 23/100, Train Loss: 1756.7808, Train Accuracy: 90.5500, Train AUC-ROC: 0.9696, Train F1 Score: 0.9011 , Train Precision: 0.9482, Train Recall: 0.8584
Epoch 24/100, Train Loss: 1631.0671, Train Accuracy: 91.5000, Train AUC-ROC: 0.9733, Train F1 Score: 0.9112 , Train Precision: 0.9567, Train Recall: 0.8699
Epoch 25/100, Train Loss: 1662.2165, Train Accuracy: 91.3500, Train AUC-ROC: 0.9722, Train F1 Score: 0.9097 , Train Precision: 0.9550, Train Recall: 0.8684
Epoch 26/100, Train Loss: 1638.9929, Train Accuracy: 91.1625, Train AUC-ROC: 0.9733, Train F1 Score: 0.9078 , Train Precision: 0.9519, Train Recall: 0.8676
Epoch 27/100, Train Loss: 1631.7749, Train Accuracy: 91.2000, Train AUC-ROC: 0.9734, Train F1 Score: 0.9081 , Train Precision: 0.9534, Train Recall: 0.8669
Epoch 28/100, Train Loss: 1651.3080, Train Accuracy: 91.3875, Train AUC-ROC: 0.9726, Train F1 Score: 0.9100 , Train Precision: 0.9558, Train Recall: 0.8684
Epoch 29/100, Train Loss: 1630.2345, Train Accuracy: 91.3875, Train AUC-ROC: 0.9736, Train F1 Score: 0.9102 , Train Precision: 0.9543, Train Recall: 0.8699
Epoch 30/100, Train Loss: 1610.7341, Train Accuracy: 91.6000, Train AUC-ROC: 0.9737, Train F1 Score: 0.9124 , Train Precision: 0.9568, Train Recall: 0.8719
Epoch 31/100, Train Loss: 1656.4482, Train Accuracy: 91.1500, Train AUC-ROC: 0.9726, Train F1 Score: 0.9075 , Train Precision: 0.9536, Train Recall: 0.8657
Epoch 32/100, Train Loss: 1600.7097, Train Accuracy: 91.4750, Train AUC-ROC: 0.9747, Train F1 Score: 0.9112 , Train Precision: 0.9537, Train Recall: 0.8724
Epoch 33/100, Train Loss: 1618.7291, Train Accuracy: 91.5375, Train AUC-ROC: 0.9736, Train F1 Score: 0.9116 , Train Precision: 0.9575, Train Recall: 0.8699
Epoch 34/100, Train Loss: 1633.5712, Train Accuracy: 91.4500, Train AUC-ROC: 0.9734, Train F1 Score: 0.9106 , Train Precision: 0.9576, Train Recall: 0.8679
Epoch 35/100, Train Loss: 1596.5950, Train Accuracy: 91.8625, Train AUC-ROC: 0.9747, Train F1 Score: 0.9153 , Train Precision: 0.9573, Train Recall: 0.8769
Epoch 36/100, Train Loss: 1624.3367, Train Accuracy: 91.3250, Train AUC-ROC: 0.9737, Train F1 Score: 0.9094 , Train Precision: 0.9550, Train Recall: 0.8679
Epoch 37/100, Train Loss: 1625.0395, Train Accuracy: 91.6000, Train AUC-ROC: 0.9733, Train F1 Score: 0.9125 , Train Precision: 0.9553, Train Recall: 0.8734
Epoch 38/100, Train Loss: 1603.4380, Train Accuracy: 91.4875, Train AUC-ROC: 0.9743, Train F1 Score: 0.9110 , Train Precision: 0.9572, Train Recall: 0.8691
Epoch 39/100, Train Loss: 1687.6437, Train Accuracy: 91.2875, Train AUC-ROC: 0.9714, Train F1 Score: 0.9088 , Train Precision: 0.9565, Train Recall: 0.8657
Epoch 40/100, Train Loss: 1628.1877, Train Accuracy: 91.2250, Train AUC-ROC: 0.9735, Train F1 Score: 0.9086 , Train Precision: 0.9507, Train Recall: 0.8701
Epoch 41/100, Train Loss: 1620.3930, Train Accuracy: 91.4625, Train AUC-ROC: 0.9734, Train F1 Score: 0.9108 , Train Precision: 0.9567, Train Recall: 0.8691
Epoch 42/100, Train Loss: 1651.6798, Train Accuracy: 91.1500, Train AUC-ROC: 0.9728, Train F1 Score: 0.9076 , Train Precision: 0.9529, Train Recall: 0.8664
Epoch 43/100, Train Loss: 1626.6187, Train Accuracy: 91.4375, Train AUC-ROC: 0.9737, Train F1 Score: 0.9106 , Train Precision: 0.9559, Train Recall: 0.8694
Epoch 44/100, Train Loss: 1625.9007, Train Accuracy: 91.4375, Train AUC-ROC: 0.9735, Train F1 Score: 0.9107 , Train Precision: 0.9546, Train Recall: 0.8706
Epoch 45/100, Train Loss: 1581.5756, Train Accuracy: 91.4875, Train AUC-ROC: 0.9750, Train F1 Score: 0.9114 , Train Precision: 0.9534, Train Recall: 0.8729
Epoch 46/100, Train Loss: 1618.2791, Train Accuracy: 91.2500, Train AUC-ROC: 0.9736, Train F1 Score: 0.9086 , Train Precision: 0.9537, Train Recall: 0.8676
Epoch 47/100, Train Loss: 1582.7266, Train Accuracy: 91.1500, Train AUC-ROC: 0.9753, Train F1 Score: 0.9076 , Train Precision: 0.9529, Train Recall: 0.8664
Epoch 48/100, Train Loss: 1611.0060, Train Accuracy: 91.6625, Train AUC-ROC: 0.9741, Train F1 Score: 0.9131 , Train Precision: 0.9561, Train Recall: 0.8739
Epoch 49/100, Train Loss: 1660.1825, Train Accuracy: 91.1000, Train AUC-ROC: 0.9725, Train F1 Score: 0.9070 , Train Precision: 0.9523, Train Recall: 0.8659
Epoch 50/100, Train Loss: 1732.9832, Train Accuracy: 90.6250, Train AUC-ROC: 0.9701, Train F1 Score: 0.9015 , Train Precision: 0.9523, Train Recall: 0.8559
Epoch 51/100, Train Loss: 1646.3011, Train Accuracy: 91.4375, Train AUC-ROC: 0.9725, Train F1 Score: 0.9104 , Train Precision: 0.9584, Train Recall: 0.8669
Epoch 52/100, Train Loss: 1614.7233, Train Accuracy: 91.2750, Train AUC-ROC: 0.9738, Train F1 Score: 0.9088 , Train Precision: 0.9547, Train Recall: 0.8671
Epoch 53/100, Train Loss: 1587.1252, Train Accuracy: 91.5000, Train AUC-ROC: 0.9746, Train F1 Score: 0.9113 , Train Precision: 0.9559, Train Recall: 0.8706
Epoch 54/100, Train Loss: 1638.7179, Train Accuracy: 91.3875, Train AUC-ROC: 0.9730, Train F1 Score: 0.9101 , Train Precision: 0.9553, Train Recall: 0.8689
Epoch 55/100, Train Loss: 1608.2417, Train Accuracy: 91.6750, Train AUC-ROC: 0.9740, Train F1 Score: 0.9130 , Train Precision: 0.9589, Train Recall: 0.8714
Epoch 56/100, Train Loss: 1610.0144, Train Accuracy: 91.6375, Train AUC-ROC: 0.9742, Train F1 Score: 0.9127 , Train Precision: 0.9581, Train Recall: 0.8714
Epoch 57/100, Train Loss: 1659.7918, Train Accuracy: 91.0125, Train AUC-ROC: 0.9727, Train F1 Score: 0.9061 , Train Precision: 0.9517, Train Recall: 0.8647
Epoch 58/100, Train Loss: 1622.7899, Train Accuracy: 91.4000, Train AUC-ROC: 0.9738, Train F1 Score: 0.9103 , Train Precision: 0.9541, Train Recall: 0.8704
Epoch 59/100, Train Loss: 1578.5842, Train Accuracy: 91.7250, Train AUC-ROC: 0.9749, Train F1 Score: 0.9138 , Train Precision: 0.9569, Train Recall: 0.8744
Epoch 60/100, Train Loss: 1610.2830, Train Accuracy: 91.4000, Train AUC-ROC: 0.9743, Train F1 Score: 0.9104 , Train Precision: 0.9534, Train Recall: 0.8711
Epoch 61/100, Train Loss: 1594.0052, Train Accuracy: 91.5125, Train AUC-ROC: 0.9744, Train F1 Score: 0.9114 , Train Precision: 0.9560, Train Recall: 0.8709
Epoch 62/100, Train Loss: 1601.7481, Train Accuracy: 91.5125, Train AUC-ROC: 0.9738, Train F1 Score: 0.9112 , Train Precision: 0.9587, Train Recall: 0.8681
Epoch 63/100, Train Loss: 1616.5637, Train Accuracy: 91.4875, Train AUC-ROC: 0.9740, Train F1 Score: 0.9111 , Train Precision: 0.9567, Train Recall: 0.8696
Epoch 64/100, Train Loss: 1585.0844, Train Accuracy: 91.5125, Train AUC-ROC: 0.9746, Train F1 Score: 0.9115 , Train Precision: 0.9552, Train Recall: 0.8716
Epoch 65/100, Train Loss: 1595.7649, Train Accuracy: 91.4500, Train AUC-ROC: 0.9742, Train F1 Score: 0.9109 , Train Precision: 0.9544, Train Recall: 0.8711
Epoch 66/100, Train Loss: 1589.8745, Train Accuracy: 91.8375, Train AUC-ROC: 0.9741, Train F1 Score: 0.9149 , Train Precision: 0.9590, Train Recall: 0.8746
Epoch 67/100, Train Loss: 1598.1830, Train Accuracy: 91.4750, Train AUC-ROC: 0.9744, Train F1 Score: 0.9112 , Train Precision: 0.9544, Train Recall: 0.8716
Epoch 68/100, Train Loss: 1583.1015, Train Accuracy: 91.4500, Train AUC-ROC: 0.9749, Train F1 Score: 0.9110 , Train Precision: 0.9534, Train Recall: 0.8721
Epoch 69/100, Train Loss: 1563.0449, Train Accuracy: 91.6500, Train AUC-ROC: 0.9753, Train F1 Score: 0.9129 , Train Precision: 0.9573, Train Recall: 0.8724
Epoch 70/100, Train Loss: 1609.7287, Train Accuracy: 91.5375, Train AUC-ROC: 0.9741, Train F1 Score: 0.9118 , Train Precision: 0.9552, Train Recall: 0.8721
Epoch 71/100, Train Loss: 1597.0556, Train Accuracy: 91.4625, Train AUC-ROC: 0.9744, Train F1 Score: 0.9109 , Train Precision: 0.9559, Train Recall: 0.8699
Epoch 72/100, Train Loss: 1588.3017, Train Accuracy: 91.5000, Train AUC-ROC: 0.9747, Train F1 Score: 0.9112 , Train Precision: 0.9567, Train Recall: 0.8699
