Epoch 1/100, Train Loss: 4973.3978, Train Accuracy: 79.8625, Train AUC-ROC: 0.8724, Train F1 Score: 0.7711, Train Precision: 0.8969, Train Recall: 0.6762
Epoch 2/100, Train Loss: 4824.2618, Train Accuracy: 85.9250, Train AUC-ROC: 0.9149, Train F1 Score: 0.8505, Train Precision: 0.9102, Train Recall: 0.7981
Epoch 3/100, Train Loss: 4804.0260, Train Accuracy: 86.5125, Train AUC-ROC: 0.9229, Train F1 Score: 0.8573, Train Precision: 0.9132, Train Recall: 0.8078
Epoch 4/100, Train Loss: 4780.3183, Train Accuracy: 87.1875, Train AUC-ROC: 0.9298, Train F1 Score: 0.8643, Train Precision: 0.9218, Train Recall: 0.8136
Epoch 5/100, Train Loss: 4771.4434, Train Accuracy: 87.6375, Train AUC-ROC: 0.9392, Train F1 Score: 0.8696, Train Precision: 0.9230, Train Recall: 0.8220
Epoch 6/100, Train Loss: 4757.2798, Train Accuracy: 88.2375, Train AUC-ROC: 0.9352, Train F1 Score: 0.8761, Train Precision: 0.9288, Train Recall: 0.8290
Epoch 7/100, Train Loss: 4747.4413, Train Accuracy: 88.6125, Train AUC-ROC: 0.9398, Train F1 Score: 0.8808, Train Precision: 0.9273, Train Recall: 0.8387
Epoch 8/100, Train Loss: 4741.3628, Train Accuracy: 88.7000, Train AUC-ROC: 0.9422, Train F1 Score: 0.8818, Train Precision: 0.9276, Train Recall: 0.8402
Epoch 9/100, Train Loss: 4728.9998, Train Accuracy: 89.1375, Train AUC-ROC: 0.9399, Train F1 Score: 0.8859, Train Precision: 0.9364, Train Recall: 0.8405
Epoch 10/100, Train Loss: 4737.3630, Train Accuracy: 88.9750, Train AUC-ROC: 0.9431, Train F1 Score: 0.8852, Train Precision: 0.9260, Train Recall: 0.8480
Epoch 11/100, Train Loss: 4722.4135, Train Accuracy: 89.3625, Train AUC-ROC: 0.9450, Train F1 Score: 0.8880, Train Precision: 0.9409, Train Recall: 0.8407
Epoch 12/100, Train Loss: 4725.7351, Train Accuracy: 89.3125, Train AUC-ROC: 0.9454, Train F1 Score: 0.8886, Train Precision: 0.9307, Train Recall: 0.8502
Epoch 13/100, Train Loss: 4736.6559, Train Accuracy: 88.9000, Train AUC-ROC: 0.9444, Train F1 Score: 0.8844, Train Precision: 0.9256, Train Recall: 0.8467
Epoch 14/100, Train Loss: 4720.9113, Train Accuracy: 89.2375, Train AUC-ROC: 0.9482, Train F1 Score: 0.8870, Train Precision: 0.9365, Train Recall: 0.8425
Epoch 15/100, Train Loss: 4720.9670, Train Accuracy: 89.3000, Train AUC-ROC: 0.9487, Train F1 Score: 0.8883, Train Precision: 0.9323, Train Recall: 0.8482
Epoch 16/100, Train Loss: 4722.1922, Train Accuracy: 89.1625, Train AUC-ROC: 0.9441, Train F1 Score: 0.8854, Train Precision: 0.9426, Train Recall: 0.8347
Epoch 17/100, Train Loss: 4713.8397, Train Accuracy: 89.6000, Train AUC-ROC: 0.9476, Train F1 Score: 0.8909, Train Precision: 0.9400, Train Recall: 0.8467
Epoch 18/100, Train Loss: 4712.4731, Train Accuracy: 89.7500, Train AUC-ROC: 0.9481, Train F1 Score: 0.8928, Train Precision: 0.9392, Train Recall: 0.8507
Epoch 19/100, Train Loss: 4707.7773, Train Accuracy: 89.6750, Train AUC-ROC: 0.9532, Train F1 Score: 0.8918, Train Precision: 0.9398, Train Recall: 0.8485
Epoch 20/100, Train Loss: 4708.7145, Train Accuracy: 89.6250, Train AUC-ROC: 0.9494, Train F1 Score: 0.8913, Train Precision: 0.9390, Train Recall: 0.8482
Epoch 21/100, Train Loss: 4701.3790, Train Accuracy: 89.9500, Train AUC-ROC: 0.9509, Train F1 Score: 0.8947, Train Precision: 0.9426, Train Recall: 0.8514
Epoch 22/100, Train Loss: 4699.9385, Train Accuracy: 90.1375, Train AUC-ROC: 0.9530, Train F1 Score: 0.8970, Train Precision: 0.9414, Train Recall: 0.8567
Epoch 23/100, Train Loss: 4703.6028, Train Accuracy: 90.2625, Train AUC-ROC: 0.9562, Train F1 Score: 0.8988, Train Precision: 0.9382, Train Recall: 0.8627
Epoch 24/100, Train Loss: 4692.2543, Train Accuracy: 90.4250, Train AUC-ROC: 0.9560, Train F1 Score: 0.8999, Train Precision: 0.9461, Train Recall: 0.8579
Epoch 25/100, Train Loss: 4702.6932, Train Accuracy: 90.2125, Train AUC-ROC: 0.9520, Train F1 Score: 0.8985, Train Precision: 0.9362, Train Recall: 0.8637
Epoch 26/100, Train Loss: 4684.9270, Train Accuracy: 91.0375, Train AUC-ROC: 0.9569, Train F1 Score: 0.9078, Train Precision: 0.9380, Train Recall: 0.8794
Epoch 27/100, Train Loss: 4692.8205, Train Accuracy: 90.2625, Train AUC-ROC: 0.9529, Train F1 Score: 0.8979, Train Precision: 0.9464, Train Recall: 0.8542
Epoch 28/100, Train Loss: 4731.7628, Train Accuracy: 89.8750, Train AUC-ROC: 0.9489, Train F1 Score: 0.8959, Train Precision: 0.9251, Train Recall: 0.8684
Epoch 29/100, Train Loss: 4727.4136, Train Accuracy: 89.3875, Train AUC-ROC: 0.9517, Train F1 Score: 0.8894, Train Precision: 0.9317, Train Recall: 0.8507
