output:tensor([[-0.4122]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3947]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3834]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4075]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4053]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4083]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3818]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4066]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4024]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3856]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3829]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3981]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3893]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3982]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3888]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3724]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3726]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3911]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3847]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3903]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3934]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3929]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3573]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3738]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3819]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3947]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3756]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3629]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3708]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3842]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3649]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3610]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3908]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3744]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3664]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3496]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3547]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3620]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3671]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3486]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3663]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3486]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3701]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3483]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3598]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3350]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3452]], device='cuda:0', grad_fn=<AddmmBackward0>)
